country,date,total_vaccinations,vaccines
Algeria,29/1/21,0,Sputnik V
Algeria,30/1/21,30,Sputnik V
Andorra,25/1/21,576,Pfizer/BioNTech
Andorra,26/1/21,,Pfizer/BioNTech
Andorra,27/1/21,,Pfizer/BioNTech
Andorra,28/1/21,,Pfizer/BioNTech
Andorra,29/1/21,,Pfizer/BioNTech
Andorra,30/1/21,,Pfizer/BioNTech
Andorra,31/1/21,,Pfizer/BioNTech
Andorra,1/2/21,1036,Pfizer/BioNTech
Argentina,29/12/20,700,Sputnik V
Argentina,30/12/20,,Sputnik V
Argentina,31/12/20,32013,Sputnik V
Argentina,1/1/21,,Sputnik V
Argentina,2/1/21,,Sputnik V
Argentina,3/1/21,,Sputnik V
Argentina,4/1/21,39599,Sputnik V
Argentina,5/1/21,,Sputnik V
Argentina,6/1/21,,Sputnik V
Argentina,7/1/21,,Sputnik V
Argentina,8/1/21,107542,Sputnik V
Argentina,9/1/21,,Sputnik V
Argentina,10/1/21,,Sputnik V
Argentina,11/1/21,,Sputnik V
Argentina,12/1/21,,Sputnik V
Argentina,13/1/21,166833,Sputnik V
Argentina,14/1/21,,Sputnik V
Argentina,15/1/21,200759,Sputnik V
Argentina,16/1/21,,Sputnik V
Argentina,17/1/21,,Sputnik V
Argentina,18/1/21,,Sputnik V
Argentina,19/1/21,,Sputnik V
Argentina,20/1/21,247933,Sputnik V
Argentina,21/1/21,265724,Sputnik V
Argentina,22/1/21,279602,Sputnik V
Argentina,23/1/21,288064,Sputnik V
Argentina,24/1/21,292023,Sputnik V
Argentina,25/1/21,292386,Sputnik V
Argentina,26/1/21,305880,Sputnik V
Argentina,27/1/21,318033,Sputnik V
Argentina,28/1/21,327999,Sputnik V
Argentina,29/1/21,344034,Sputnik V
Argentina,30/1/21,366384,Sputnik V
Argentina,31/1/21,,Sputnik V
Argentina,1/2/21,375851,Sputnik V
Argentina,2/2/21,,Sputnik V
Argentina,3/2/21,396562,Sputnik V
Argentina,4/2/21,444018,Sputnik V
Argentina,5/2/21,,Sputnik V
Argentina,6/2/21,471383,Sputnik V
Austria,10/1/21,6784,Pfizer/BioNTech
Austria,11/1/21,11559,Pfizer/BioNTech
Austria,12/1/21,13172,Pfizer/BioNTech
Austria,13/1/21,20064,Pfizer/BioNTech
Austria,14/1/21,29359,Pfizer/BioNTech
Austria,15/1/21,39751,Pfizer/BioNTech
Austria,16/1/21,50402,Pfizer/BioNTech
Austria,17/1/21,55450,Pfizer/BioNTech
Austria,18/1/21,61012,Pfizer/BioNTech
Austria,19/1/21,71508,Pfizer/BioNTech
Austria,20/1/21,88895,Pfizer/BioNTech
Austria,21/1/21,108252,Pfizer/BioNTech
Austria,22/1/21,124756,Pfizer/BioNTech
Austria,23/1/21,136348,Pfizer/BioNTech
Austria,24/1/21,139538,Pfizer/BioNTech
Austria,25/1/21,141350,Pfizer/BioNTech
Austria,26/1/21,150933,Pfizer/BioNTech
Austria,27/1/21,158985,Pfizer/BioNTech
Austria,28/1/21,169439,Pfizer/BioNTech
Austria,29/1/21,181419,Pfizer/BioNTech
Austria,30/1/21,197179,Pfizer/BioNTech
Austria,31/1/21,200498,Pfizer/BioNTech
Austria,1/2/21,202345,Pfizer/BioNTech
Austria,2/2/21,208988,Pfizer/BioNTech
Austria,3/2/21,222520,Pfizer/BioNTech
Austria,4/2/21,238241,Pfizer/BioNTech
Austria,5/2/21,252829,Pfizer/BioNTech
Austria,6/2/21,270267,Pfizer/BioNTech
Bahrain,23/12/20,38965,"Pfizer/BioNTech, Sinopharm"
Bahrain,24/12/20,50071,"Pfizer/BioNTech, Sinopharm"
Bahrain,25/12/20,50543,"Pfizer/BioNTech, Sinopharm"
Bahrain,26/12/20,51556,"Pfizer/BioNTech, Sinopharm"
Bahrain,27/12/20,53614,"Pfizer/BioNTech, Sinopharm"
Bahrain,28/12/20,55014,"Pfizer/BioNTech, Sinopharm"
Bahrain,29/12/20,56041,"Pfizer/BioNTech, Sinopharm"
Bahrain,30/12/20,57317,"Pfizer/BioNTech, Sinopharm"
